animals 2
3 22776 12960
1 22344 14688
zombies 35
0 22634.6 13882.1
0 22566.9 13818.2
0 22590.9 13776.9
0 22674 13818
0 22634.6 13882.1
0 22634.5 13752.9
0 22591 13858.1
0 22634.5 13753
0 22650 13858.1
0 22152 14544
0 22674 13818
0 22635.1 13752.8
0 22634.5 13882.1
0 22674.1 13818
0 22674.1 13818.1
0 22566.9 13818.6
1 22640.1 13762.9
0 22634.6 13882.1
1 22598 13865
0 22591 13777
0 22674.1 13803
0 22632 14712
0 22650 13858.1
0 23256 14448
0 22608 13882.1
0 22616.6 13897.1
0 22403.4 13789.1
0 23016 13056
0 22429.1 13949.8
0 22753.8 13387.6
0 22141.8 13851.7
0 22326.7 13560
0 22228.4 14016.2
0 22158.6 14277.5
0 23156.6 14036.3
