animals 3
3 18792 1958.02
2 17657.9 2534.46
0 18170.2 2101.32
zombies 33
0 17431 2386.07
0 17671 2003.33
0 17850.5 2301.24
0 17718.3 2022.98
0 17670.8 2010.24
0 17743.4 2016.85
0 17671 2008.49
0 17734.7 2018.93
0 17691.4 2031.15
0 17642.6 2009.67
0 17718.6 1959.72
0 17657.4 2053.39
0 17745.7 2028.78
0 17781.3 2007.59
0 17703.8 1955.85
0 17771.8 2020.5
0 17659.6 2130.83
0 17795.3 1858.07
0 17642.7 1898.6
0 17964.1 2100.08
0 17811.7 2438.09
0 17370.5 2386.27
0 17305 2138.84
0 17530.1 1877.03
0 18393.7 2202.32
0 18076.7 2053.37
0 17545.7 1611.9
0 17007.4 2288.48
0 17735.9 1438.53
0 16990.8 1763.85
0 17208 1296
0 18481 1989.71
0 18408 1272
