animals 2
1 4393.03 6941.47
3 4824 6192
zombies 27
0 4566.94 7123.56
1 4573.91 7128.56
0 4566.83 7123.56
0 4581.96 7104.85
0 4566.94 7123.56
0 4566.98 7123.56
0 4581.96 7104.85
0 4566.91 7123.56
1 4573.86 7128.56
1 4573.98 7128.56
0 4581.96 7104.89
0 4566.83 7123.56
0 4566.83 7123.57
0 4566.97 7123.56
0 4581.97 7104.96
0 4566.99 7123.56
0 4602.02 7123.57
0 4602.01 7123.56
0 4567 7123.56
0 4566.99 7123.57
0 4602.04 7123.56
0 4602.04 7123.57
0 4566.9 7123.56
0 4566.79 7123.57
0 3720 6960
0 4656 6264
0 4032 7776
